first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,0,0,0,0,0,0,0,0,0,0,
10^2,10,10,10,10,10,10,9,10,10,10,
10^3,232,204,197,197,197,197,197,197,197,197,
10^4,4347,4381,4366,4369,4311,4323,4315,4323,4290,4355,
10^5,105334,102817,102587,102594,103047,102730,103508,107120,102922,103593,
10^6,2667968,2683567,2673288,2671766,2662727,2663166,2666514,2672537,2663079,2663640,
10^7,74280691,73448371,73091773,73082408,73060075,73517324,73951257,74237887,74158334,74144577,
