first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^1,7,7,8,7,7,7,6,6,7,7,
10^2,236,229,231,227,232,233,232,236,239,234,
10^3,5716,5676,5672,5685,5795,5645,5852,5618,6970,5573,
10^4,47669,48765,47187,46623,46524,47085,46565,46684,46501,46757,
10^5,504200,496425,480041,1159657,480567,480130,478651,607269,462789,543761,
10^6,5561364,5594188,5493720,5465156,5341258,5268110,5311466,6141914,5310075,5213454,
10^7,45116651,44711542,44409832,44682751,44497086,44484477,44625613,44841859,44855595,44884207,
