first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,1,0,0,0,0,0,0,0,0,0,
10^2,11,10,10,10,10,10,10,10,10,10,
10^3,271,234,248,230,233,236,259,232,232,232,
10^4,6343,5925,5697,6256,5584,5621,9460,7442,9145,6913,
10^5,153434,148809,146285,151110,143180,147297,141781,142748,145053,146268,
10^6,3800602,3796547,3787038,3774085,3805222,3799192,3800921,3798143,3800870,3831719,
10^7,106669543,106731203,106649327,106894691,107047254,107051726,106687915,105840283,106686367,106154827,
