first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,0,0,0,0,0,0,0,0,0,0,
10^2,2,2,2,2,2,2,2,2,2,2,
10^3,21,20,20,22,24,28,25,26,22,20,
10^4,248,246,273,210,304,320,313,208,208,211,
10^5,2259,2119,2131,2122,2121,2326,2555,2165,2116,2131,
10^6,22240,38630,24970,25193,36696,35533,28409,38707,26817,34475,
10^7,257816,224066,219303,224569,218724,228010,217147,236044,235235,226925,
