first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,0,0,0,0,0,0,0,0,0,0,
10^2,11,11,9,9,9,12,11,12,9,9,
10^3,141,173,140,200,177,201,175,177,139,181,
10^4,2508,3001,3131,2557,3432,3051,3026,2993,2511,3122,
10^5,40406,35624,38670,35830,36354,39029,32947,37602,37203,39190,
10^6,332848,338972,339125,334024,335647,332495,336593,338676,333372,342457,
10^7,3308151,3374289,3327557,3336355,3353385,3357105,3415492,3453589,3414749,3422079,
