first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,0,0,0,0,0,0,0,0,0,0,
10^2,6,6,6,5,5,5,6,5,5,5,
10^3,112,111,113,103,100,87,96,105,95,96,
10^4,4590,4661,4609,4673,4683,4787,4670,6586,5465,8843,
10^5,236091,223099,226163,221743,217878,223240,217383,224718,223399,222806,
10^6,7623404,7560505,7556419,7567613,7558975,7618674,7564871,7584680,7692686,7684754,
10^7,223400027,223897990,221919027,223026837,224079572,224672867,225486900,225774618,224877688,224174138,
