first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,0,0,0,0,0,0,0,0,0,0,
10^2,8,7,7,7,7,7,8,7,7,6,
10^3,106,107,107,107,107,107,107,107,107,108,
10^4,1108,1140,1079,1081,1073,1077,1072,1118,1085,1094,
10^5,12344,12791,17956,13300,12845,15537,17954,12492,12059,14114,
10^6,195310,183533,183826,177011,183220,198321,183379,187047,195734,181970,
10^7,3405860,3404820,3463607,3461126,3421276,3442600,3401160,3403086,3450066,3406593,
