first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^1,18,17,17,17,17,17,17,17,17,16,
10^2,323,337,328,322,347,394,400,414,404,415,
10^3,5703,4916,5062,6474,5940,7331,6847,6279,5877,5588,
10^4,67580,67073,67153,67229,67166,67470,67089,67673,67310,67474,
10^5,869647,864549,859525,868646,862070,861164,861336,858331,862372,859357,
10^6,10752428,10732004,10772538,10813238,10786755,10762055,10762023,10817453,10787902,10758156,
10^7,132136956,135202158,135245387,133619394,134218059,133667137,133929422,133267540,133994287,133781672,
