first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,0,0,0,0,0,0,0,0,0,0,
10^2,15,19,15,15,15,16,14,14,14,14,
10^3,168,162,159,158,162,167,168,174,159,159,
10^4,1658,1671,1697,2139,1647,1647,1643,1649,1634,1652,
10^5,28467,18179,22237,20446,23449,20451,17727,21952,18024,22474,
10^6,196135,181399,180755,174000,190802,181671,189308,179717,171334,177303,
10^7,2012084,2003838,1987193,2003112,1998111,2059451,2030686,2014314,2011348,2010031,
