first n primes,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 
10^0,0,0,0,0,0,0,0,0,0,0,
10^1,0,0,0,0,0,0,0,0,0,0,
10^2,11,10,10,10,10,11,11,10,10,10,
10^3,119,119,124,118,118,118,127,143,120,117,
10^4,1512,1493,1482,1491,1492,1484,1490,1496,1490,1504,
10^5,28808,31498,27288,32038,28189,26061,30870,29814,30350,28456,
10^6,4140927,4119813,4157546,4117395,4108449,4116461,4127294,4115046,4119654,4149871,
10^7,190866951,192570960,190342167,188683653,186314876,195210171,194815832,193795772,193390754,192822625,
